cell_id,development_stage,cell_type,donor_id,assay,distal_tip_score,airway_score,alveolar_score,commitment_score,substrate,in_exiting_tip
14226,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.5948226476202205,-0.09421029408772787,2.1318012508777304,-2.2260115449654583,cao2020,False
14228,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.11532731445468203,-0.43855824788411457,2.4775460378839336,-2.916104285768048,cao2020,False
14232,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.7667853686274314,0.8458624744415283,0.368233161781906,0.4776293126596223,cao2020,True
14233,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.15254200721273617,-0.10420188268025717,0.7471527747057993,-0.8513546573860565,cao2020,True
14234,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.0737478781719597,-0.07947611490885417,0.6468643496889587,-0.7263404645978129,cao2020,False
14235,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.2891765394989325,-0.28812039693196617,2.593294979235448,-2.881415376167414,cao2020,False
14237,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.11966665423646265,-0.1261551284790039,1.4310983474101495,-1.5572534758891534,cao2020,False
14238,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.4136544830945073,-0.057911624908447264,1.9400566302308249,-1.9979682551392721,cao2020,True
14239,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,0.6896402227635287,-0.10070713043212891,0.8138561128476345,-0.9145632432797633,cao2020,False
14241,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,0.5697638635732689,-0.1398690668741862,2.1092110861332043,-2.2490801530073905,cao2020,False
14244,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.2099486175848513,-0.09144428888956706,1.4695220945078298,-1.5609663833973968,cao2020,True
14249,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.40719511071029973,-0.18387381235758463,1.6622880008242547,-1.8461618131818394,cao2020,True
14250,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,0.71440204795526,-0.10315359751383464,0.9575203733706693,-1.0606739708845039,cao2020,False
14253,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.5059359414236886,-0.12513173421223958,1.7903220500421086,-1.9154537842543482,cao2020,True
14255,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,0.6157701051965052,-0.18370667775472005,1.811040226472627,-1.9947469042273471,cao2020,False
14260,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,0.9288575162692946,0.41505977789560955,1.6804248783566536,-1.265365100461044,cao2020,False
14261,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27058,sci-RNA-seq3,-0.6742884577537069,1.0799150355656941,0.4823557122038045,0.5975593233618897,cao2020,True
14264,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.1867502952108578,0.6608885447184245,-0.2690570376334934,0.9299455823519179,cao2020,True
14267,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.2678125926426479,-0.12284798940022787,1.3042162755213746,-1.4270642649216025,cao2020,True
14274,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.2839526278632028,-0.312638422648112,0.5931243830864583,-0.9057628057345704,cao2020,False
14275,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.06228925743881537,-0.04069564819335938,1.2280166925640281,-1.2687123407573875,cao2020,False
14278,16th week post-fertilization stage,squamous epithelial cell,H27423,sci-RNA-seq3,-0.15254200721273617,-0.05704776128133138,0.0,-0.05704776128133138,cao2020,True
14281,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,0.0,-0.2044366200764974,0.8167052793940273,-1.0211418994705246,cao2020,False
14282,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,0.2406973315744984,-0.18365262349446615,0.5013378071128776,-0.6849904306073438,cao2020,False
14289,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.06755109222567811,-0.0882667605082194,1.4977786650351428,-1.5860454255433623,cao2020,False
14293,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.18106629897137078,-0.1119170888264974,1.4843121209275831,-1.5962292097540804,cao2020,True
14295,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,0.8281373381614685,-0.11491676330566407,0.5931702551491764,-0.7080870184548405,cao2020,False
14296,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27058,sci-RNA-seq3,-0.9422634669712612,0.03706534902254738,0.6302234262501428,-0.5931580772275955,cao2020,True
14297,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.14653546469552176,-0.07221609751383463,2.2832938028038097,-2.3555099003176445,cao2020,True
14302,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.3536819146603954,-0.17259625752766927,0.5296466290403943,-0.7022428865680636,cao2020,True
14303,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.642008839821329,-0.16028475443522136,0.5347533247886448,-0.6950380792238662,cao2020,True
14304,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27058,sci-RNA-seq3,0.7775836149040534,-0.13547234853108725,0.7428531274883026,-0.8783254760193898,cao2020,False
14305,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.28574634571464697,-0.13633703867594402,1.958193398396903,-2.094530437072847,cao2020,False
14308,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.6916071869889084,-0.05139653523763021,-0.25753572446490647,0.20613918922727625,cao2020,False
14310,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.2152591238216478,-0.1757274627685547,1.1725727461893625,-1.3483002089579172,cao2020,True
14311,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.4079967420928332,-0.20832125345865884,2.080362144960176,-2.2886833984188346,cao2020,True
