substrate,view,stage,airway_bin,alveolar_bin,n_cells,fraction_of_view
cao2020,all_epithelial,15th week post-fertilization stage,4,3,205,0.025088728429812752
cao2020,all_epithelial,15th week post-fertilization stage,4,4,81,0.009913107330804064
cao2020,exiting_tip,15th week post-fertilization stage,0,0,199,0.05037974683544304
cao2020,exiting_tip,15th week post-fertilization stage,0,1,179,0.04531645569620253
cao2020,exiting_tip,15th week post-fertilization stage,0,2,92,0.02329113924050633
cao2020,exiting_tip,15th week post-fertilization stage,0,3,104,0.026329113924050632
cao2020,exiting_tip,15th week post-fertilization stage,0,4,43,0.010886075949367089
cao2020,exiting_tip,15th week post-fertilization stage,1,0,286,0.07240506329113924
cao2020,exiting_tip,15th week post-fertilization stage,1,1,209,0.05291139240506329
cao2020,exiting_tip,15th week post-fertilization stage,1,2,162,0.0410126582278481
cao2020,exiting_tip,15th week post-fertilization stage,1,3,96,0.02430379746835443
cao2020,exiting_tip,15th week post-fertilization stage,1,4,51,0.012911392405063291
cao2020,exiting_tip,15th week post-fertilization stage,2,0,284,0.07189873417721519
cao2020,exiting_tip,15th week post-fertilization stage,2,1,179,0.04531645569620253
cao2020,exiting_tip,15th week post-fertilization stage,2,2,166,0.0420253164556962
cao2020,exiting_tip,15th week post-fertilization stage,2,3,91,0.023037974683544304
cao2020,exiting_tip,15th week post-fertilization stage,2,4,59,0.014936708860759493
cao2020,exiting_tip,15th week post-fertilization stage,3,0,222,0.05620253164556962
cao2020,exiting_tip,15th week post-fertilization stage,3,1,134,0.033924050632911394
cao2020,exiting_tip,15th week post-fertilization stage,3,2,148,0.03746835443037975
cao2020,exiting_tip,15th week post-fertilization stage,3,3,67,0.016962025316455697
cao2020,exiting_tip,15th week post-fertilization stage,3,4,48,0.012151898734177215
cao2020,exiting_tip,15th week post-fertilization stage,4,0,395,0.1
cao2020,exiting_tip,15th week post-fertilization stage,4,1,350,0.08860759493670886
cao2020,exiting_tip,15th week post-fertilization stage,4,2,256,0.06481012658227848
cao2020,exiting_tip,15th week post-fertilization stage,4,3,109,0.02759493670886076
cao2020,exiting_tip,15th week post-fertilization stage,4,4,21,0.005316455696202532
cao2020,all_epithelial,16th week post-fertilization stage,0,0,40,0.011444921316165951
cao2020,all_epithelial,16th week post-fertilization stage,0,1,78,0.022317596566523604
cao2020,all_epithelial,16th week post-fertilization stage,0,2,84,0.0240343347639485
cao2020,all_epithelial,16th week post-fertilization stage,0,3,165,0.04721030042918455
cao2020,all_epithelial,16th week post-fertilization stage,0,4,153,0.04377682403433476
cao2020,all_epithelial,16th week post-fertilization stage,1,0,101,0.028898426323319026
cao2020,all_epithelial,16th week post-fertilization stage,1,1,89,0.025464949928469243
cao2020,all_epithelial,16th week post-fertilization stage,1,2,120,0.034334763948497854
cao2020,all_epithelial,16th week post-fertilization stage,1,3,150,0.04291845493562232
cao2020,all_epithelial,16th week post-fertilization stage,1,4,143,0.040915593705293275
cao2020,all_epithelial,16th week post-fertilization stage,2,0,114,0.03261802575107296
cao2020,all_epithelial,16th week post-fertilization stage,2,1,102,0.029184549356223177
cao2020,all_epithelial,16th week post-fertilization stage,2,2,182,0.052074391988555076
